Source,Target
1001,1
1001,1
1001,1
1001,1
1001,1
1001,2
1001,2
1001,8
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1001,9
1003,1
1003,1
1003,2
1003,2
1003,2
1003,2
1003,3
1003,4
1003,8
1003,9
1006,1
1006,1
1006,1
1006,1
1006,1
1006,1
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,2
1006,3
1006,3
1006,3
1006,4
1006,4
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,5
1006,6
1006,6
1006,6
1006,7
1006,7
1006,7
1006,7
1006,7
1006,7
1006,8
1006,8
1006,8
1006,8
1006,8
1006,8
1006,9
1007,1
1007,1
1007,1
1007,1
1007,1
1007,1
1007,1
1007,1
1007,1
1007,1
1007,1
1007,1
1007,2
1007,2
1007,2
1007,3
1007,7
1007,8
1007,8
1007,8
1007,8
1007,9
1008,1
1008,2
1008,2
1009,1
1009,2
1009,3
1009,3
1009,4
1009,4
1009,5
1009,5
1009,7
1009,8
1009,8
1009,8
1009,8
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,1
2102,2
2102,2
2102,2
2102,2
2102,2
2102,2
2102,2
2102,2
2102,3
2102,3
2102,3
2102,3
2102,3
2102,3
2102,3
2102,3
2102,3
2102,3
2102,3
2102,3
2102,3
2102,3
2102,4
2102,4
2102,4
2102,4
2102,4
2102,4
2102,5
2102,5
2102,5
2102,6
2102,6
2102,6
2102,6
2102,6
2102,6
2102,6
2102,6
2102,6
2102,6
2102,7
2102,7
2102,7
2102,7
2102,7
2102,8
2102,8
2102,9
2102,9
2104,1
2104,1
2104,1
2104,1
2104,1
2104,1
2104,1
2104,1
2104,2
2104,2
2104,2
2104,2
2104,2
2104,2
2104,2
2104,2
2104,2
2104,2
2104,2
2104,2
2104,3
2104,6
2104,6
2104,7
2104,7
2104,8
2104,8
2104,8
2104,8
2104,8
2104,9
2104,9
2104,9
2104,9
2104,9
2104,9
2104,9
2104,9
2104,9
2104,9
2105,1
2105,1
2105,1
2105,2
2105,2
2105,2
2105,2
2105,2
2105,2
2105,2
2105,2
2105,2
2105,2
2105,3
2105,3
2105,3
2105,3
2105,3
2105,3
2105,3
2105,3
2105,3
2105,3
2105,3
2105,3
2105,4
2105,4
2105,4
2105,4
2105,6
2105,6
2105,6
2105,6
2105,7
2105,8
2105,8
2105,9
2105,9
2105,9
2105,9
2107,2
2107,2
2107,2
2107,3
2107,3
2107,3
2107,3
2107,3
2107,3
2107,3
2107,3
2107,3
2107,3
2107,3
2107,3
2107,3
2107,3
2107,3
2107,5
2107,7
2107,7
2107,7
2107,7
2107,7
2107,7
2107,7
2107,7
2107,8
2107,8
2107,8
2107,8
2107,9
2107,9
2107,MI
2108,2
2108,2
2108,2
2108,3
2108,3
2108,7
2108,8
2108,9
2201,1
2201,1
2201,1
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,2
2201,3
2201,3
2201,3
2201,3
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,4
2201,5
2201,5
2201,5
2201,5
2201,6
2201,6
2201,6
2201,7
2201,7
2201,8
2201,9
2201,9
2201,9
2201,9
2201,9
2201,9
2201,9
2201,9
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,2
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,3
2202,4
2202,5
2202,5
2202,5
2202,5
2202,7
2202,7
2202,7
2202,7
2202,7
2202,7
2202,9
2202,9
2203,1
2203,1
2203,1
2203,1
2203,1
2203,1
2203,1
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,2
2203,3
2203,3
2203,3
2203,3
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,4
2203,5
2203,5
2203,5
2203,5
2203,5
2203,5
2203,6
2203,6
2203,6
2203,6
2203,6
2203,6
2203,6
2203,6
2203,6
2203,6
2203,7
2203,7
2203,7
2203,7
2205,1
2205,1
2205,2
2205,2
2205,2
2205,3
2205,3
2205,3
2205,3
2205,3
2205,3
2205,4
2205,6
2205,6
2205,6
2205,6
2205,7
2205,7
2205,8
2205,8
2205,8
2205,8
2205,9
2206,1
2206,1
2206,1
2207,1
2207,1
2207,1
2207,1
2207,2
2207,2
2207,3
2207,3
2207,6
2207,6
2207,6
2207,6
2207,6
2207,6
2207,7
2207,8
2207,8
2207,8
2207,8
2207,8
2207,8
2207,8
2207,8
2207,8
2207,9
2207,9
2207,9
2207,9
2301,1
2301,1
2301,1
2301,1
2301,1
2301,1
2301,2
2301,4
2301,5
2301,5
2301,7
2301,8
2302,1
2302,1
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,2
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,3
2302,4
2302,4
2302,4
2302,4
2302,5
2302,6
2302,6
2302,7
2302,7
2302,7
2302,7
2302,7
2302,7
2302,9
2302,9
2303,1
2303,1
2303,1
2303,1
2303,1
2303,1
2303,2
2303,2
2303,2
2303,2
2303,2
2303,2
2303,2
2303,2
2303,3
2303,3
2303,4
2303,5
2303,5
2303,5
2303,6
2303,6
2303,6
2303,6
2303,6
2303,6
2303,6
2303,6
2303,7
2305,1
2305,2
2305,2
2305,3
2305,3
2305,4
2305,4
2305,5
2305,6
2305,6
2305,6
2305,6
2305,6
2305,6
2305,6
2305,6
2305,6
2305,7
2305,8
2305,8
2305,8
2305,8
2305,8
2305,8
2305,9
2306,7
2306,7
2306,7
2306,7
2306,7
2306,7
2306,7
2306,7
2306,9
2307,2
2307,2
2307,2
2307,2
2307,3
2307,3
